,country,description,designation,points,price,province,region_1,region_2,variety,winery
668,US,"Pretty good for this price, a balanced red wine, brimming with blackberry and cherry flavors, smoky oak, and the full-bodied richness you want in a Cab. Easy to find, with 76,000 cases produced.",,84,10.0,California,California,California Other,Cabernet Sauvignon,McManis
669,US,"From 40-year-old vines, this is quite tart and puckery, but ultrafresh and clean. A lemony Riesling that seems like a match made in heaven for Pacific coast oysters.",,89,25.0,Oregon,McMinnville,Willamette Valley,Riesling,Hyland
670,Italy,"Here's a savory wine that opens with aromas of black berry, earth, leather and spice. The brooding palate offers mature blackberry, black cherry, black licorice and cracked pepper alongside big, chewy tannins.",Teodosio,88,20.0,Southern Italy,Aglianico del Vulture,,Aglianico,Basilisco
671,US,"This wine offers notes of herbs, brown stems and blue fruit. It's medium bodied with tart acids and chalky, astringent tannins.",Estate,86,30.0,Washington,Lake Chelan,Columbia Valley,Syrah,Tsillan
672,France,"92-94 Barrel sample. Wood dominant, smooth tannins and a open, generous texture. This is ripe and full in the mouth.",Barrel sample,93,,Bordeaux,Saint-Julien,,Bordeaux-style Red Blend,Château Branaire-Ducru
673,US,"Absolutely opaque—it's definitely one of the darkest, inkiest wines out there. The black-currant nose shows lots of depth, with vanilla and cinnamon shadings. Though it is massive and a bit unpenetrable now, the softness, blackberry fruit and full tannins suggest it will be really nice in a few years. Just expect a real fruit ball.",Generations,91,65.0,California,Napa Valley,Napa,Cabernet Sauvignon,Raymond
674,France,"This is a smooth, ripe, and rounded wine that's intense on the palate with bright red-fruit flavors. Integrated acidity and hints of maturity add balance to rich fruitiness. Reserve wines blended into the Champagne lend a fullness to the palate that makes the wine ready to drink now.",Blanc de Noirs Grand Cru Brut,91,,Champagne,Champagne,,Pinot Noir,Henriet-Bazin
675,US,"This is a juicy and formidably tannic version of the variety, from a famed vineyard known also for Zinfandel. Dry oak and intrusively harsh texture need mellowing before the more gentle notions of dried herb and black cherry can shine.",Frediani Vineyard,86,70.0,California,Calistoga,Napa,Cabernet Franc,Vermeil
676,US,"Cool climate all the way, from the brisk, metallic, acidic mouthfeel to the flavors of citrus zest, with a hint of peach. The winemaker has added notes of lees and delicate oak that enrich the wine and bring it to completion.",Sleepy Hollow Vineyard,90,39.0,California,Monterey County,Central Coast,Chardonnay,Talbott
677,US,"Shows the sweet richness of Napa Valley. It has candied flavors of blackberries and cherries, wrapped into firm, polished tannins. A pretty wine, it should show its best over the next four years.",Lot Four,89,40.0,California,St. Helena,Napa,Cabernet Sauvignon,The Magpie
678,Austria,"This is Hans Nittnaus's international wine, with Cab Sauvignon and Merlot in the blend along with St. Laurent and Zweigelt. It offers complex flavors, mixing black fruits with smooth toast from barrique aging. There's a vegetal edge to it, which detracts from the overall impression.",Nit'ana,87,24.0,Burgenland,,,Red Blend,Nittnaus Hans und Christine
679,US,"A great big burst of acidity marks this ripe wine, giving the cherry flavors the tart taste of jam. There are complicating notes of anise, pepper and rhubarb. Easy to drink now.",Dijon Clone,86,39.0,California,Arroyo Seco,Central Coast,Pinot Noir,Scott Family
680,US,"Bright berry and red-currant aromas. Lighter in style than Cabs being produced by other LI wineries. The finish turns tough and leathery, not a good match for the delicate fruit.",Mudd Vineyard,82,19.0,New York,Long Island,Long Island,Cabernet Sauvignon,Channing Perrine
681,France,"Dark colored wine, revealing wood aging both aromatically and to taste. That said, it also has great weight, a powerful and complex wine with its coffee, dried fruit and black plum flavors. It's an impressive, solid wine that deserves at least seven years' aging.",,91,29.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Lestage Simon
682,US,"This is a crisp, minerally wine you could drink as an interesting alternative to Sauvignon Blanc. It's rich in citrus, apricot and floral flavors that finish with a honey, fruity flourish. Try with Asian fare.",Silvaspoons Vineyard,85,15.0,California,Alta Mesa,Central Valley,Verdelho,Lee Family Farm
683,US,"Subtle citrus and peach aromas mark this pretty wine, with light oak shadings. It's round and supple, with some nicely extracted citrus fruit and crisp acidity. It's light and elegant, but no blockbuster.",,86,18.0,California,Carneros,Napa-Sonoma,Chardonnay,Beaulieu Vineyard
684,US,"A big but mild-mannered wine, this has subtle oak and butter aromas plus ripe pear, butterscotch and white-peach flavors. A nicely thick texture carries all the complexity through the finish.",Vintner's Reserve,89,17.0,California,California,California Other,Chardonnay,Kendall-Jackson
685,New Zealand,"Quite lean and pungent, as so many Kiwi Sauvignon Blancs are, but there's a definable tart grapefruit element amid the more pungent, feline notes.  The sharp, puckery finish is right in line with the rest of the package.",,83,11.0,Marlborough,,,Sauvignon Blanc,Red Hill (NZ)
686,US,"Sweet and sour, with simple pineapple, mint and orange flavors, and a cut of tart acidity.",Zingy,82,18.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Buttonwood Farm
687,US,"Winemaker Markus Niggli is making remarkable whites from unusual, hard-to-find grapes, in this case a blend of 50% Kerner, 25% Riesling and 25% Bacchus. This slight, seductive white dances in acidity that's got an electric mouthfeel, with a bouquet of citrus and herbs that you'll be thinking about a long time.",Artist Series,90,19.0,California,Lodi,Central Valley,White Blend,Borra
688,Australia,"Very classic Riesling in a Mosel style with green apple, hay and herb and a hint of petrol on the nose. The mouth shows a slight spritz, brisk acidity and more of the crisp Granny Smith apple that shows on the nose. Finishes with bright, almost sharp acidity. Best Buy.",Bin 7,88,8.0,South Australia,Clare Valley,,Riesling,Leasingham
689,Spain,"Hard to believe the price on this. Yes, it's a perfectly good aged Ribera, but special it isn't. Bricky and roasted on the nose, with spiced cherry and plum aromas. The palate is healthy and comfortable, with cola, cherry and licorice flavors. Vanilla and length define the finish. Too regular to recommend at $325.",Prestigio Pago de las Solanas,88,325.0,Northern Spain,Ribera del Duero,,Tempranillo,Matarromera
690,Italy,"Open knit, with raw cherry aromas. This wine has sweet and common flavors, with a fresh, fast mouthfeel. It's fairly chocolaty on the finish, with a hint of cherry cough drop. Good, but fails to stand out in a high-class field. Imported by Wilson Daniels Ltd.",,87,64.0,Tuscany,Brunello di Montalcino,,Sangiovese,Tenimenti Angelini
691,Spain,"Standard black-cherry aromas carry a candied, vanilla-like twinge, while the feel is juicy and snappy. Flavors of sweet berries and cherry are just fine, and they come with a nod of spice and bitterness. Punchy and fresh overall, with good ripeness and balance.",,85,8.0,Northern Spain,Cariñena,,Garnacha,Castillo de Monséran
692,US,"One of the first wines from De Loach after the Boisset takeover, this dry Gewürz is a good portent for the future. It's ultraclean and crisp, with very deep and satisfying flavors of Asian spices, peaches, litchi and citrus.",Early Harvest,87,14.0,California,Russian River Valley,Sonoma,Gewürztraminer,De Loach
693,France,"Attractive in a lush, superripe sort of way, with notes of prune and chocolate amid the brandied cherries. Hints of coffee emerge on the slightly warm finish. Drink this full-bodied red over the next few years.",Prestige Cairanne,89,20.0,Rhône Valley,Côtes du Rhône Villages,,Rhône-style Red Blend,Domaine Saint Andéol
694,South Africa,"Herbal and fruity all at once with clean aromas of gooseberry, hard mango and green grass. Ctirus flavors dominate the lightweight mouth with crisp lime acidity charging through on the close.",Sunbird,86,14.0,Stellenbosch,,,Sauvignon Blanc,Simonsig
695,US,"A very nicely priced Zin from 66-year-old, dry-farmed Sierra Foothills vines that has an intense spiciness right from the get-go and is appropriately tannic and meaty, big and classic for its historical roots. Plum, blackberry and tobacco predominate and already with four years of age, this one could age more.",Esola Vineyard,88,18.0,California,Shenandoah Valley (CA),Sierra Foothills,Zinfandel,Amador Foothill Winery
696,US,"The house style is readily apparent here:  red fruits, whiffs of cocoa, light herb and a hint of pickle barrel. Tastes good, comes together well, but hard to distinguish from the reserve cab, which seems to have just a bit more stuffing.",Walter Clore Reserve Red,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Columbia Crest
697,US,"Designed by Delicato winemaker James Ewart as a Pinot with power that can handle a steak, this wine features a dense, dark nose, with blackberry, olallieberry and red currant cut by allspice, clove and licorice-vanilla cookies. The palate is rich and luxurious, with ripe cranberry and red-cherry elements spiced up with mocha, cappuccino and long-lingering vanilla bean. It's boisterous and fresh, so drink now with a juicy rib-eye.",La Petite Grace,93,30.0,California,Monterey,Central Coast,Pinot Noir,Diora
698,Germany,"Notes of honey and cinnamon combine with a slightly musky spice note to give this sweet auslese added interest. It's round in the mouth without being soft or flabby in the slightest, with lingering notes of baked apple on the finish.",Graacher Himmelreich Auslese,89,19.0,Mosel,,,Riesling,Gräflich von Hohenthal'Scher
699,France,"A single estate run by Joseph Mellot, this produces an impressive ripe style of Sauvignon Blanc, at this stage youthful with exuberant white fruits and grapefruit, and an obvious need to age for 1–2 years.",Domaine des Mariniers,90,20.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Joseph Mellot
700,France,"One of the three crus bourgeois Medoc properties under the control of Marie-Laure Lurton, Duplessis has produced an attractive, fruity wine in 2003, which shows good tannic structure under its black currant and herb flavors. It is fine and elegant, with a deliciously lively aftertaste, and should develop well. Imported by Hartley and Parker.",,88,,Bordeaux,Moulis-en-Médoc,,Bordeaux-style Red Blend,Château Duplessis
701,Italy,"This blend of 80% Cabernet Sauvignon and 20% Cabernet Franc shows intensity, extraction and tight, polished tannins. Between the wine's strength and structure are soft layers of dark fruit, spice, leather and tobacco that evolve over time.",Riverbero,92,,Tuscany,Bolgheri Superiore,,Red Blend,Campo al Noce
702,Argentina,"A gamy, slightly stemmy and rubbery style of Bonarda that reflects the variety, Mendoza's terroir and the vineyard. Which doesn't mean that it's great; far from it, the wine is good but stemmy, with green-ish notes and reedy accents infiltrating the red-fruit flavors that control the palate. Solid and structured, but still it leaves something to be desired.",Estela Armando Vineyard,85,17.0,Mendoza Province,Mendoza,,Bonarda,La Posta
703,France,"From selected parcels of Château Bélingard, this is a great success for the cool 2007 vintage. There is black berry richness to balance the severe tannins, while the element of freshness is well integrated into the final stalky acidity. Age for 3–4 years.",Ortus,90,18.0,Southwest France,Côtes de Bergerac,,Bordeaux-style Red Blend,Château Bélingard
704,US,"Clean and fruity, with light, silky tannins and nice supporting acids, this is a gentle Pinot that flatters with cherries, cola, smoke and vanilla flavors and a smooth texture. It's easy to like.",Mitsuko's Vineyard,86,30.0,California,Carneros,Napa-Sonoma,Pinot Noir,Clos Pegase
